wikidata;type
Q15;cont
Q828;cont
Q48;cont
Q46;cont
Q538;cont
Q51;cont
Q5401;cont
Q60140;cont
Q27433;cont
Q27407;cont
Q27381;cont
Q4412;cont
Q210682;cont
Q132959;cont
Q27394;cont
Q27611;cont
Q12585;cont
Q49;cont
Q2017699;cont
Q18;cont
Q27275;cont
Q27231;cont
Q12824780;cont
Q27293;cont
Q771405;cont
Q11708;cont
Q27509;cont
Q900636;cont
Q16389571;cont
Q27468;cont
Q27479;cont
Q27496;cont
Q27449;cont
Q263686;cont
Q66065;land
Q6583;land
Q2841453;land
Q5456;land
Q1286;land
Q5463;land
Q18869;land
Q5451;land
Q23522;land
Q503282;land
Q28227;land
Q7204;land
Q48214;land
Q21195;land
Q664609;sea
Q166131;sea
Q93259;sea
Q128011;sea
Q37394;sea
Q35942;sea
Q3359409;sea
Q97;sea
Q98;sea
Q1239;sea
Q37660;sea
Q45341;sea
Q4918;sea
Q34675;sea
Q166;sea
Q25322;sea
Q1070940;sea
Q2271241;sea
Q7159;org
Q7172;org
Q7768;org
Q776874;org
Q170481;org
Q1147937;org
Q795985;org
Q2655795;org
Q96053693;org
Q205995;org
Q190028;org
Q7779;org
Q7785;org
Q1045401;org
Q8908;org
Q20036753;org
Q337456;org
Q193272;org
Q225950;org
Q4173083;org
Q458;org
Q62005941;org
Q326816;org
Q217172;org
Q2297691;org
Q499151;org
Q97994672;org
Q1918937;org
Q4264;org
Q7184;org
Q146165;org
Q123759;org
Q757276;org
Q3117794;org
Q11523819;org
Q485207;org
Q145700;org
Q3935730;org
Q32069506;org
Q13231715;org
Q596850;org
Q4230;org
Q244323;org
Q1642145;org
Q889;sta
Q916;sta
Q222;sta
Q228;sta
Q878;sta
Q414;sta
Q399;sta
Q781;sta
Q408;sta
Q40;sta
Q227;sta
Q967;sta
Q31;sta
Q962;sta
Q965;sta
Q902;sta
Q219;sta
Q398;sta
Q778;sta
Q225;sta
Q184;sta
Q242;sta
Q750;sta
Q155;sta
Q244;sta
Q921;sta
Q917;sta
Q963;sta
Q929;sta
Q16;sta
Q39;sta
Q298;sta
Q148;sta
Q1008;sta
Q1009;sta
Q974;sta
Q971;sta
Q739;sta
Q970;sta
Q1011;sta
Q800;sta
Q241;sta
Q229;sta
Q213;sta
Q183;sta
Q977;sta
Q784;sta
Q35;sta
Q786;sta
Q262;sta
Q736;sta
Q79;sta
Q986;sta
Q29;sta
Q191;sta
Q115;sta
Q33;sta
Q712;sta
Q142;sta
Q702;sta
Q1000;sta
Q145;sta
Q230;sta
Q117;sta
Q1006;sta
Q1005;sta
Q1007;sta
Q983;sta
Q41;sta
Q769;sta
Q774;sta
Q734;sta
Q783;sta
Q224;sta
Q790;sta
Q28;sta
Q252;sta
Q668;sta
Q27;sta
Q794;sta
Q796;sta
Q189;sta
Q801;sta
Q38;sta
Q766;sta
Q810;sta
Q17;sta
Q232;sta
Q114;sta
Q813;sta
Q424;sta
Q710;sta
Q763;sta
Q884;sta
Q817;sta
Q819;sta
Q822;sta
Q1014;sta
Q1016;sta
Q760;sta
Q347;sta
Q854;sta
Q1013;sta
Q37;sta
Q32;sta
Q211;sta
Q1028;sta
Q235;sta
Q217;sta
Q1019;sta
Q826;sta
Q96;sta
Q709;sta
Q221;sta
Q912;sta
Q233;sta
Q836;sta
Q236;sta
Q711;sta
Q1029;sta
Q1025;sta
Q1027;sta
Q1020;sta
Q833;sta
Q1030;sta
Q1032;sta
Q1033;sta
Q811;sta
Q29999;sta
Q20;sta
Q837;sta
Q697;sta
Q664;sta
Q842;sta
Q843;sta
Q804;sta
Q419;sta
Q928;sta
Q695;sta
Q691;sta
Q36;sta
Q423;sta
Q45;sta
Q733;sta
Q846;sta
Q218;sta
Q159;sta
Q1037;sta
Q851;sta
Q1049;sta
Q1041;sta
Q334;sta
Q685;sta
Q1044;sta
Q792;sta
Q238;sta
Q1045;sta
Q403;sta
Q958;sta
Q1039;sta
Q730;sta
Q214;sta
Q215;sta
Q34;sta
Q1050;sta
Q1042;sta
Q858;sta
Q657;sta
Q945;sta
Q869;sta
Q863;sta
Q874;sta
Q574;sta
Q678;sta
Q754;sta
Q948;sta
Q43;sta
Q672;sta
Q865;sta
Q924;sta
Q1036;sta
Q212;sta
Q77;sta
Q30;sta
Q265;sta
Q237;sta
Q757;sta
Q717;sta
Q881;sta
Q686;sta
Q683;sta
Q805;sta
Q258;sta
Q953;sta
Q954;sta
Q5838;cap
Q3897;cap
Q19689;cap
Q1863;cap
Q1519;cap
Q1486;cap
Q1953;cap
Q36262;cap
Q3114;cap
Q1741;cap
Q9248;cap
Q167551;cap
Q239;cap
Q3799;cap
Q3777;cap
Q1354;cap
Q472;cap
Q3882;cap
Q2467;cap
Q11194;cap
Q2280;cap
Q3043;cap
Q1491;cap
Q2844;cap
Q36168;cap
Q9279;cap
Q9270;cap
Q3919;cap
Q3832;cap
Q1930;cap
Q70;cap
Q2887;cap
Q956;cap
Q3768;cap
Q3808;cap
Q3838;cap
Q3844;cap
Q2841;cap
Q3901;cap
Q3751;cap
Q3070;cap
Q1563;cap
Q3856;cap
Q1085;cap
Q64;cap
Q3604;cap
Q36281;cap
Q1748;cap
Q34820;cap
Q3561;cap
Q2900;cap
Q85;cap
Q3642;cap
Q2807;cap
Q1770;cap
Q3624;cap
Q1757;cap
Q38807;cap
Q90;cap
Q42751;cap
Q3825;cap
Q84;cap
Q994;cap
Q3761;cap
Q3733;cap
Q3726;cap
Q3739;cap
Q3818;cap
Q1524;cap
Q41547;cap
Q1555;cap
Q10717;cap
Q3238;cap
Q1435;cap
Q34261;cap
Q1781;cap
Q3630;cap
Q987;cap
Q1761;cap
Q3616;cap
Q1530;cap
Q1764;cap
Q1218;cap
Q220;cap
Q34692;cap
Q3805;cap
Q1490;cap
Q1520;cap
Q3870;cap
Q9361;cap
Q1850;cap
Q131233;cap
Q41295;cap
Q8684;cap
Q35178;cap
Q9326;cap
Q3820;cap
Q3748;cap
Q3579;cap
Q41699;cap
Q1844;cap
Q35381;cap
Q3909;cap
Q216;cap
Q1842;cap
Q1773;cap
Q3551;cap
Q55115;cap
Q21197;cap
Q3915;cap
Q9347;cap
Q1489;cap
Q12919;cap
Q384;cap
Q3703;cap
Q23800;cap
Q37400;cap
Q23564;cap
Q23430;cap
Q3889;cap
Q3688;cap
Q3929;cap
Q3876;cap
Q1865;cap
Q3935;cap
Q3674;cap
Q3787;cap
Q3274;cap
Q727;cap
Q585;cap
Q3037;cap
Q31026;cap
Q23661;cap
Q3826;cap
Q1362;cap
Q3306;cap
Q2868;cap
Q1461;cap
Q515229;cap
Q36526;cap
Q270;cap
Q18808;cap
Q597;cap
Q2933;cap
Q3861;cap
Q19660;cap
Q649;cap
Q3859;cap
Q3692;cap
Q1963;cap
Q3718;cap
Q334;cap
Q40921;cap
Q3780;cap
Q3110;cap
Q1848;cap
Q2449;cap
Q3711;cap
Q1947;cap
Q3932;cap
Q3001;cap
Q1780;cap
Q437;cap
Q1754;cap
Q3904;cap
Q3940;cap
Q3766;cap
Q3659;cap
Q3792;cap
Q1861;cap
Q9365;cap
Q23438;cap
Q9310;cap
Q38834;cap
Q39178;cap
Q3572;cap
Q3640;cap
Q34126;cap
Q1867;cap
Q3866;cap
Q3894;cap
Q1899;cap
Q1335;cap
Q61;cap
Q269;cap
Q41474;cap
Q1533;cap
Q1858;cap
Q37806;cap
Q36260;cap
Q2471;cap
Q3926;cap
Q3881;cap
Q3921;cap
